Comment,Designator,Footprint,JLCPCB Part #
Battery_Cell,BT1,"JST PH 2-pin, 2.00mm, right-angle THT",
100n,"C1,C3,C7",0603,
10u,"C2,C5,C6",0603,
LED,"D1,D2",0603,
USB_C_Receptacle_PowerOnly_6P,J1,"USB-C receptacle, power-only 6P",
DMG9926UDM-7,Q1,SOT-26,C156289
0.1,R1,2512,
680,"R10,R8",0603,
4.7k,"R2,R3",0603,
1.2k,R4,0603,
5.1k,"R5,R6",0603,
100,R7,0603,
1k,R9,0603,
XIAO-ESP32-C6-SMD,U1,Seeed XIAO ESP32-C6 module,
LIS3DH,U2,LGA-16,
DW01A,U3,SOT-23-6,C2927799
INA226AIDGSR,U4,MSOP-10,C49851
TP4056-42-ESOP8,U5,ESOP-8,C16581
