Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.5000,-115.5000,0,Top
C1,102.2250,-101.0000,180,Top
C2,102.2250,-105.5000,180,Top
C3,119.5000,-122.5000,270,Top
C5,158.0000,-89.5000,270,Top
C6,146.0000,-108.5000,90,Top
C7,152.0000,-109.5000,270,Top
D1,142.0400,-88.9862,90,Top
D2,144.6300,-88.9862,90,Top
J1,158.0000,-81.5800,0,Top
Q1,157.9500,-113.1474,0,Top
R1,133.5375,-113.5000,90,Top
R10,144.5100,-84.9762,270,Top
R2,110.5000,-120.0000,270,Top
R3,104.0000,-123.3250,90,Top
R4,142.5000,-102.5200,270,Top
R5,149.0000,-85.0000,180,Top
R6,149.2700,-90.4300,180,Top
R7,150.8250,-103.3125,0,Top
R8,142.0000,-84.9762,270,Top
R9,157.0000,-108.3250,270,Top
U1,111.3514,-99.4683,0,Top
U2,102.0000,-93.7250,180,Top
U3,157.0000,-103.5000,180,Top
U4,123.5000,-113.5000,270,Top
U5,143.1750,-95.1200,90,Top
